haiku,summary
"profound blue of night 
the resin and salt of pines
so far from the sea","Night's depth meets the scent of pines, distant from the ocean.
"
"indian summer
the neighbor's daughter sunbathes
beside their empty pool","A young woman enjoys the warmth of a late summer day by a vacant pool.
"
"Ordinary morning
bluest of skies, crisp, clear air
until the shadows ","A beautiful morning is disrupted by shadows.
"
"drawn in by the smell
of fast food and vinegar
this october sun ","The allure of fast food on a sunny October day.
"
"recycling--
old stories get a new twist
at the rumor mill","Rumors are like recycled stories, twisted and reused.
"
"making a u-turn
clear in the rear view mirror
autumn afternoon ","A car makes a U-turn on an autumn afternoon.
"
"gliding back and forth
through the office aquarium
goldfish and workers","A shared, monotonous existence between goldfish and office workers.
"
"Patient old donkey
waiting for her morning hay
Gray August sunrise","An old donkey patiently waits for food as the sun rises.
"
"summer butterfly
a girl wearing a white dress
in the morning breeze","A girl in a white dress is likened to a summer butterfly in the morning breeze.
"
"a night of fireflies
and cricket song . . .
the end of summer","Summer's end is marked by fireflies and crickets.
"
"Hovering grey sky
a small crack in the thick clouds
fishing boats come in","Boats return as the sky clears after a storm.
"
"October morning
a new pair of new wool socks
on my very cold feet","A cozy start to a cold October morning.
"
"Last night of Summer
the bright full moon of last night
hidden by a cloud","Summer's end, moon obscured.
"
"At last some sunshine
blue Pacifc this morning
boiling tea water","A peaceful morning with sunshine and a blue ocean, contrasted with the everyday act of boiling water for tea.
"
"sultry July day
a homeless fans herself with
a piece of cardboard","A hot summer day and a homeless person's struggle to cool down.
"
"summer's end .
their chirping slows down -
good-bye, cicadas!","Cicadas are chirping less as summer ends.
"
"Fragrant spring blossom
children play outside until
there is no more light.","Children playing outdoors until nightfall during springtime.
"
"Spring snow --
an expecting mother rests
her hands on her belly","Pregnancy and the anticipation of new life juxtaposed with the unexpected return of winter.
"
"Full moon night -
the shape of the mannequins' breasts
in the shop-window","A full moon illuminates the artificiality of beauty in a shop window.
"
"New-York September
the one-way sign points towards
the billowing cloud","A one-way sign in New York points toward the smoke and debris of 9/11.
"
"chuntering at something
the blackbird on the fence post
- election day","A blackbird's noisy complaint on election day.
"
"green rimmed eye -
a glimmer of youth buried
in the fading iris","Aging, with a hint of youthful memory in the eye.
"
